exp2/qos1_1024b3000ms_3.csv: 21/21, 3.43 ms
exp2/qos1_1024b5000ms_1.csv: 13/13, 3.31 ms
exp2/qos1_1024b5000ms_2.csv: 13/13, 2.54 ms
exp2/qos1_1024b5000ms_3.csv: 13/13, 3.08 ms
exp2/qos2_1024b10ms_1.csv: 5776/5776, 23.63 ms
exp2/qos2_1024b10ms_2.csv: 5771/5771, 23.18 ms
exp2/qos2_1024b10ms_3.csv: 5770/5770, 23.44 ms
exp2/qos2_1024b1000ms_1.csv: 61/61, 2.41 ms
exp2/qos2_1024b1000ms_2.csv: 61/61, 3.61 ms
exp2/qos2_1024b1000ms_3.csv: 61/61, 3.57 ms
exp2/qos2_1024b3000ms_1.csv: 21/21, 3.10 ms
exp2/qos2_1024b3000ms_2.csv: 21/21, 3.33 ms
exp2/qos2_1024b3000ms_3.csv: 21/21, 3.43 ms
exp2/qos2_1024b5000ms_1.csv: 13/13, 3.15 ms
exp2/qos2_1024b5000ms_2.csv: 13/13, 3.08 ms
exp2/qos2_1024b5000ms_3.csv: 13/13, 2.85 ms

exp2/qos0_4096b10ms_0.csv: 5725/5725, 25.10 ms
exp2/qos0_4096b10ms_1.csv: 5753/5753, 23.46 ms
exp2/qos0_4096b10ms_2.csv: 5772/5772, 23.15 ms
exp2/qos0_4096b10ms_3.csv: 5770/5770, 23.30 ms
exp2/qos0_4096b1000ms_1.csv: 61/61, 2.52 ms
exp2/qos0_4096b1000ms_2.csv: 61/61, 3.36 ms
exp2/qos0_4096b1000ms_3.csv: 61/61, 3.80 ms
exp2/qos0_4096b3000ms_1.csv: 21/21, 3.43 ms
exp2/qos0_4096b3000ms_2.csv: 21/21, 3.19 ms
exp2/qos0_4096b3000ms_3.csv: 21/21, 3.14 ms
exp2/qos0_4096b5000ms_1.csv: 13/13, 3.38 ms
exp2/qos0_4096b5000ms_2.csv: 13/13, 3.08 ms
exp2/qos0_4096b5000ms_3.csv: 13/13, 3.23 ms
exp2/qos1_4096b10ms_1.csv: 5803/5803, 2.21 ms
exp2/qos1_4096b10ms_2.csv: 5806/5806, 2.13 ms
exp2/qos1_4096b10ms_3.csv: 5809/5809, 2.19 ms
exp2/qos1_4096b1000ms_1.csv: 61/61, 2.85 ms
