s,us,a,chegada,envio,delay_ms,jitter_ms
1616294974,274469,1234abcdefghijklmnopqrstuvwxyz,1616294974494,1616294974274,220,1
1616294974,375469,1234abcdefghijklmnopqrstuvwxyz,1616294974496,1616294974375,121,99
1616294974,475472,1234abcdefghijklmnopqrstuvwxyz,1616294974499,1616294974475,24,97
1616294974,577469,1234abcdefghijklmnopqrstuvwxyz,1616294974596,1616294974577,19,5
1616294974,679475,1234abcdefghijklmnopqrstuvwxyz,1616294974697,1616294974679,18,1
1616294974,781472,1234abcdefghijklmnopqrstuvwxyz,1616294974008,1616294974781,773,755
1616294974,883472,1234abcdefghijklmnopqrstuvwxyz,1616294974904,1616294974883,21,752
1616294974,986472,1234abcdefghijklmnopqrstuvwxyz,1616294975007,1616294974986,21,0
1616294975,88472,1234abcdefghijklmnopqrstuvwxyz,1616294975107,1616294975088,19,2
1616294975,190471,1234abcdefghijklmnopqrstuvwxyz,1616294975208,1616294975190,18,1
1616294975,293472,1234abcdefghijklmnopqrstuvwxyz,1616294975309,1616294975293,16,2
1616294975,395472,1234abcdefghijklmnopqrstuvwxyz,1616294975413,1616294975395,18,2
1616294975,498472,1234abcdefghijklmnopqrstuvwxyz,1616294975515,1616294975498,17,1
1616294975,600473,1234abcdefghijklmnopqrstuvwxyz,1616294975616,1616294975600,16,1
1616294975,702469,1234abcdefghijklmnopqrstuvwxyz,1616294975072,1616294975702,630,614
1616294975,805472,1234abcdefghijklmnopqrstuvwxyz,1616294975821,1616294975805,16,614
1616294975,907472,1234abcdefghijklmnopqrstuvwxyz,1616294975923,1616294975907,16,0
1616294976,10472,1234abcdefghijklmnopqrstuvwxyz,1616294976003,1616294976010,7,9
1616294976,112473,1234abcdefghijklmnopqrstuvwxyz,1616294976013,1616294976112,99,92
1616294976,214469,1234abcdefghijklmnopqrstuvwxyz,1616294976233,1616294976214,19,80
1616294976,317473,1234abcdefghijklmnopqrstuvwxyz,1616294976334,1616294976317,17,2
1616294976,419473,1234abcdefghijklmnopqrstuvwxyz,1616294976441,1616294976419,22,5
1616294976,522472,1234abcdefghijklmnopqrstuvwxyz,1616294976541,1616294976522,19,3
1616294976,624474,1234abcdefghijklmnopqrstuvwxyz,1616294976642,1616294976624,18,1
1616294976,726469,1234abcdefghijklmnopqrstuvwxyz,1616294976749,1616294976726,23,5
1616294976,829473,1234abcdefghijklmnopqrstuvwxyz,1616294976845,1616294976829,16,7
1616294976,931475,1234abcdefghijklmnopqrstuvwxyz,1616294976947,1616294976931,16,0
1616294977,34473,1234abcdefghijklmnopqrstuvwxyz,1616294977005,1616294977034,29,13
1616294977,136473,1234abcdefghijklmnopqrstuvwxyz,1616294977161,1616294977136,25,4
1616294977,239473,1234abcdefghijklmnopqrstuvwxyz,1616294977255,1616294977239,16,9
1616294977,341473,1234abcdefghijklmnopqrstuvwxyz,1616294977357,1616294977341,16,0
1616294977,443476,1234abcdefghijklmnopqrstuvwxyz,1616294977046,1616294977443,397,381
1616294977,546473,1234abcdefghijklmnopqrstuvwxyz,1616294977562,1616294977546,16,381
1616294977,648476,1234abcdefghijklmnopqrstuvwxyz,1616294977667,1616294977648,19,3
1616294977,750469,1234abcdefghijklmnopqrstuvwxyz,1616294977768,1616294977750,18,1
1616294977,853472,1234abcdefghijklmnopqrstuvwxyz,1616294977872,1616294977853,19,1
1616294977,955475,1234abcdefghijklmnopqrstuvwxyz,1616294977976,1616294977955,21,2
1616294978,58472,1234abcdefghijklmnopqrstuvwxyz,1616294978075,1616294978058,17,4
1616294978,160475,1234abcdefghijklmnopqrstuvwxyz,1616294978178,1616294978160,18,1
1616294978,262469,1234abcdefghijklmnopqrstuvwxyz,1616294978279,1616294978262,17,1
1616294978,365472,1234abcdefghijklmnopqrstuvwxyz,1616294978382,1616294978365,17,0
1616294978,467474,1234abcdefghijklmnopqrstuvwxyz,1616294978483,1616294978467,16,1
1616294978,570472,1234abcdefghijklmnopqrstuvwxyz,1616294978586,1616294978570,16,0
1616294978,672472,1234abcdefghijklmnopqrstuvwxyz,1616294978688,1616294978672,16,0
1616294978,774469,1234abcdefghijklmnopqrstuvwxyz,1616294978791,1616294978774,17,1
1616294978,877472,1234abcdefghijklmnopqrstuvwxyz,1616294978895,1616294978877,18,1
1616294978,979473,1234abcdefghijklmnopqrstuvwxyz,1616294978996,1616294978979,17,1
1616294979,82472,1234abcdefghijklmnopqrstuvwxyz,1616294979099,1616294979082,17,0
1616294979,184472,1234abcdefghijklmnopqrstuvwxyz,1616294979002,1616294979184,182,165
1616294979,286469,1234abcdefghijklmnopqrstuvwxyz,1616294979302,1616294979286,16,166
1616294979,389472,1234abcdefghijklmnopqrstuvwxyz,1616294979407,1616294979389,18,2
1616294979,491475,1234abcdefghijklmnopqrstuvwxyz,1616294979511,1616294979491,20,2
1616294979,594473,1234abcdefghijklmnopqrstuvwxyz,1616294979614,1616294979594,20,0
1616294979,696472,1234abcdefghijklmnopqrstuvwxyz,1616294979716,1616294979696,20,0
1616294979,798469,1234abcdefghijklmnopqrstuvwxyz,1616294979814,1616294979798,16,4
1616294979,901472,1234abcdefghijklmnopqrstuvwxyz,1616294979918,1616294979901,17,1
1616294980,3477,1234abcdefghijklmnopqrstuvwxyz,1616294980019,1616294980003,16,1
1616294980,106472,1234abcdefghijklmnopqrstuvwxyz,1616294980122,1616294980106,16,0
1616294980,208472,1234abcdefghijklmnopqrstuvwxyz,1616294980225,1616294980208,17,1
1616294980,310469,1234abcdefghijklmnopqrstuvwxyz,1616294980328,1616294980310,18,1
1616294980,413472,1234abcdefghijklmnopqrstuvwxyz,1616294980043,1616294980413,370,352
1616294980,515475,1234abcdefghijklmnopqrstuvwxyz,1616294980532,1616294980515,17,353
1616294980,618472,1234abcdefghijklmnopqrstuvwxyz,1616294980634,1616294980618,16,1
1616294980,720473,1234abcdefghijklmnopqrstuvwxyz,1616294980736,1616294980720,16,0
1616294980,822469,1234abcdefghijklmnopqrstuvwxyz,1616294980843,1616294980822,21,5
1616294980,925472,1234abcdefghijklmnopqrstuvwxyz,1616294980945,1616294980925,20,1
1616294981,27473,1234abcdefghijklmnopqrstuvwxyz,1616294981046,1616294981027,19,1
1616294981,130472,1234abcdefghijklmnopqrstuvwxyz,1616294981147,1616294981130,17,2
1616294981,232473,1234abcdefghijklmnopqrstuvwxyz,1616294981249,1616294981232,17,0
1616294981,335473,1234abcdefghijklmnopqrstuvwxyz,1616294981351,1616294981335,16,1
1616294981,437472,1234abcdefghijklmnopqrstuvwxyz,1616294981454,1616294981437,17,1
1616294981,539473,1234abcdefghijklmnopqrstuvwxyz,1616294981557,1616294981539,18,1
1616294981,642473,1234abcdefghijklmnopqrstuvwxyz,1616294981658,1616294981642,16,2
1616294981,744473,1234abcdefghijklmnopqrstuvwxyz,1616294981761,1616294981744,17,1
1616294981,846469,1234abcdefghijklmnopqrstuvwxyz,1616294981863,1616294981846,17,0
1616294981,949472,1234abcdefghijklmnopqrstuvwxyz,1616294981965,1616294981949,16,1
1616294982,51477,1234abcdefghijklmnopqrstuvwxyz,1616294982069,1616294982051,18,2
1616294982,154473,1234abcdefghijklmnopqrstuvwxyz,1616294982171,1616294982154,17,1
1616294982,256472,1234abcdefghijklmnopqrstuvwxyz,1616294982274,1616294982256,18,1
